product_id,fullname,brand,url_part,review_url,test_bench_id,test_bench_version,released_at,first_published_at,last_updated_at,sizes_available,product_type,display_type,backlight_type_v2,dimming_zone_count,color_architecture,qd_present,qd_material,spd_verified,marketing_label,panel_type,panel_sub_type,backlight_type_rtings,spd_classification,spd_confidence,blue_peak_nm,blue_fwhm_nm,green_peak_nm,green_fwhm_nm,red_peak_nm,red_fwhm_nm,mixed_usage,home_theater,gaming,sports,bright_room,color_score,brightness_score,black_level_score,contrast_ratio_score,native_contrast_score,sdr_dci_p3_coverage_pct,sdr_bt2020_coverage_pct,hdr_bt2020_coverage_itp_pct,sdr_real_scene_peak_nits,sdr_peak_10pct_nits,sdr_peak_2pct_nits,hdr_peak_100pct_nits,hdr_peak_50pct_nits,hdr_peak_25pct_nits,hdr_peak_10pct_nits,hdr_peak_2pct_nits,native_contrast,contrast_ratio,first_response_time_ms,total_response_time_ms,input_lag_1080p_ms,input_lag_4k_ms,native_refresh_rate,vrr_support,hdmi_forum_vrr,hdmi_ports,hdmi_21_speed,resolution,ground_truth_tech,ground_truth_qd_type,match_status,scraped_at,spd_image,spd_image_local,price_size,price_best,price_source,price_amazon,price_buybox,price_bestbuy,price_list,price_per_m2,sizes_with_price,size_min,size_max,all_asins,all_bb_skus,price_per_mixed_use
82692,Amazon Fire TV Omni Mini-LED Series,Amazon,amazon-fire-tv-omni-mini-led-series,https://www.rtings.com/tv/reviews/amazon/fire-tv-omni-mini-led-series,197,v2.0.1,2024-11-13 19:00:01 -0500,2025-03-31 10:39:31 -0400,2025-08-18 10:51:54 -0400,"55"" (ML55F700); 65"" (ML65F700); 75"" (ML75F700); 85"" (ML85F700)",tv,LCD,Direct-lit,768.0,KSF,No,,Yes,,LCD,VA,Full-Array,KSF,high,445.9,16.7,533.2,46.0,632.0,9.1,7.6,7.8,7.6,7.5,7.5,7.1,7.9,8.5,8.3,7.8,85.99,58.24,36.7,630.6598511,812,556,729,1111,1683,1404,974,6200.0,132467.0,8.3,10.7,5.1,5.1,144Hz,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/NPl1fm9e/amazon-fire-tv-omni-mini-led-series/spd-large.jpg?format=auto,spd_images/amazon-fire-tv-omni-mini-led-series_spd.jpg,65.0,919.99,amazon,919.99,,,919.99,1071.5783765476947,4,55.0,85.0,"B0C7SRHGXF,B0C1TQYNWX,B0C7SH9FN2,B0C7S8Z4C1",,121.05131578947369
117447,Hisense 100U8QG,Hisense,hisense-100u8qg,https://www.rtings.com/tv/reviews/hisense/100u8qg,197,v2.0.1,2025-05-01 00:00:00 -0400,2025-11-12 11:07:22 -0500,2025-11-25 17:30:50 -0500,"100"" (100U8QG)",tv,LCD,Direct-lit,5376.0,Pseudo QD,No,,Yes,ULED,LCD,VA,Full-Array,KSF,medium,446.6,15.7,533.4,51.0,632.0,9.0,8.3,8.4,8.0,8.2,8.4,7.6,9.0,8.9,9.7,7.5,88.61,62.14,49.3,864.1564331,3847,4901,763,1382,2593,3916,4983,5562.0,297450.0,8.2,9.5,3.3,4.4,165Hz,Yes,Yes,3 (3x HDMI 2.1),48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/eh6yvAjK/hisense-100u8qg/spd-large.jpg?format=auto,spd_images/hisense-100u8qg_spd.jpg,,,,,,,,,0,,,,,
61045,Hisense 75U8N,Hisense,hisense-75u8n,https://www.rtings.com/tv/reviews/hisense/75u8n,197,v2.0.1,2024-04-01 00:00:00 -0400,2024-08-21 10:20:13 -0400,2025-05-08 10:57:38 -0400,"75"" (75U8N)",tv,LCD,Direct-lit,2000.0,QD-LCD,Yes,CdSe,Yes,ULED,LCD,IPS,Full-Array,QD-LCD,high,447.8,16.1,536.4,25.4,625.9,21.6,7.9,7.8,7.9,8.4,8.5,8.3,8.7,7.3,8.0,4.9,98.16,70.28,51.4,935.0,2816,1965,885,1400,2431,2923,2041,1643.0,110600.0,8.0,8.1,3.1,4.6,144Hz,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/ToHPHeJJ/hisense-75u8n/spd-large.jpg?format=auto,spd_images/hisense-75u8n_spd.jpg,,,,,,,,,0,,,,,
102827,Hisense 98QD5QG,Hisense,hisense-98qd5qg,https://www.rtings.com/tv/reviews/hisense/98qd5qg,197,v2.0.1,2025-05-31 20:00:01 -0400,2025-11-21 16:03:08 -0500,2025-11-25 17:35:32 -0500,"98"" (98QD5QG)",tv,LCD,Direct-lit,,Pseudo QD,No,,Yes,QLED,LCD,IPS,Direct,KSF,medium,446.3,16.5,534.5,49.3,632.0,9.1,5.6,5.0,5.8,6.7,6.6,7.2,5.3,1.9,0.8,4.0,89.66,64.57,26.8,333.2558899,367,369,414,414,414,414,413,977.0,977.0,14.7,14.7,3.0,4.5,144Hz,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/3G1LW1cr/hisense-98qd5qg/spd-large.jpg?format=auto,spd_images/hisense-98qd5qg_spd.jpg,98.0,1199.99,rtings,,,,,579.7053140096618,1,98.0,98.0,,6635801,214.2839285714286
57713,Hisense A7N,Hisense,hisense-a7n,https://www.rtings.com/tv/reviews/hisense/a7n-a7-a75n,227,v2.2,2024-04-01 00:00:00 -0400,2024-09-12 14:40:22 -0400,2026-03-12 11:19:01 -0400,"43"" (43A7N); 50"" (50A7N); 55"" (55A7N); 65"" (65A7N); 75"" (75A7N); 85"" (85A7N)",tv,LCD,Direct-lit,,Pseudo QD,No,,Yes,QLED,LCD,VA,Direct,KSF,medium,444.5,16.5,534.4,47.3,632.0,9.1,5.9,5.7,5.9,6.1,6.4,7.2,5.2,4.4,3.9,7.2,87.87,61.65,27.8,320.3305359,342,342,350,351,352,352,354,4791.0,4791.0,10.0,10.6,10.8,10.8,60Hz,Yes,Yes,4 (4x HDMI 2.0),No HDMI 2.1,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/cmE1GJxF/hisense-a7n-a7-a75n/spd-large.jpg?format=auto,spd_images/hisense-a7n_spd.jpg,75.0,431.99,rtings,,,,,551.00826446281,5,43.0,75.0,"B0CY56VHS4,B0CY4QPSVS,B0CY4LQ851,B0CY4SW14M",6577000,73.2186440677966
63953,Hisense CanvasTV 2024,Hisense,hisense-canvastv-2024,https://www.rtings.com/tv/reviews/hisense/canvastv-qled-2024,227,v2.2,2024-06-01 00:00:00 -0400,2024-09-25 09:55:12 -0400,2026-03-12 16:35:17 -0400,"55"" (55S75N); 65"" (65S75N); 75"" (75S75N); 85"" (85S75N)",tv,LCD,Edge-lit,,Pseudo QD,No,,Yes,QLED,LCD,VA,Edge,KSF,medium,444.3,16.5,536.3,48.7,632.0,9.1,5.9,5.5,6.0,6.9,6.9,5.9,5.7,4.0,3.3,6.6,84.2,58.74,28.6,436.0,442,441,457,456,456,456,456,3802.0,3802.0,11.3,11.3,4.0,5.4,144Hz,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/lTCxeaxK/hisense-canvastv-qled-2024/spd-large.jpg?format=auto,spd_images/hisense-canvastv-2024_spd.jpg,55.0,697.99,amazon,697.99,,,697.99,1119.2641378823198,4,55.0,85.0,"B0D2PNH494,B0D2PNVJFT,B0F363GQZF,B0F35W3T1C",6579198,118.30338983050846
96128,Hisense QD6QF,Hisense,hisense-qd6qf,https://www.rtings.com/tv/reviews/hisense/qd6qf,227,v2.2,2025-04-20 00:00:00 -0400,2025-09-12 10:44:54 -0400,2026-03-13 12:42:18 -0400,"43"" (43QD6QF); 50"" (50QD6QF); 55"" (55QD6QF); 65"" (65QD6QF); 75"" (75QD6QF); 85"" (85QD6QF); 100"" (100QD6QF)",tv,LCD,Direct-lit,,Pseudo QD,No,,Yes,QLED,LCD,VA,Direct,KSF,medium,447.8,17.1,533.6,48.0,632.0,9.0,5.9,5.7,6.2,5.9,6.3,6.8,5.6,4.9,4.5,7.8,80.75,56.48,26.7,293.4034729,386,385,378,377,378,377,377,6235.0,6235.0,10.0,13.3,10.2,10.2,60Hz,Yes,Yes,4 (4x HDMI 2.0),No HDMI 2.1,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/5pdLPSF7/hisense-qd6qf/spd-large.jpg?format=auto,spd_images/hisense-qd6qf_spd.jpg,65.0,369.99,bestbuy,,,369.99,,461.79511599511596,7,43.0,100.0,"B0DYRL2984,B0DYS29P6M,B0DYRDKGSM,B0DYRPHL6N,B0DYRB8LVF,B0DYRLTZXL","6621192,6621201,6621212,6621207,6621199",62.71016949152542
63102,Hisense QD7N,Hisense,hisense-qd7n,https://www.rtings.com/tv/reviews/hisense/qd7n-qd7-qd75n-qled,227,v2.2,2024-06-01 00:00:00 -0400,2024-10-03 10:22:40 -0400,2026-03-16 10:03:32 -0400,"65"" (65QD7N); 75"" (75QD7N); 85"" (85QD7N); 100"" (100QD7N)",tv,LCD,Direct-lit,,Pseudo QD,No,,Yes,QLED,LCD,IPS,Direct,KSF,medium,447.7,18.0,533.8,47.5,632.0,9.1,5.8,5.3,5.8,6.9,6.7,7.1,5.9,2.6,1.2,4.6,90.72,61.11,27.6,386.0,439,439,440,439,439,440,438,1419.0,1419.0,10.4,10.4,4.3,4.4,144Hz,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/aqZuSmIs/hisense-qd7n-qd7-qd75n-qled/spd-large.jpg?format=auto,spd_images/hisense-qd7n_spd.jpg,,,,,,,,,4,,,,,
96119,Hisense QD7QF,Hisense,hisense-qd7qf,https://www.rtings.com/tv/reviews/hisense/qd7qf,227,v2.2,2025-04-07 00:00:00 -0400,2025-09-09 14:52:03 -0400,2026-03-16 09:57:38 -0400,"50"" (50QD7QF); 55"" (55QD7QF); 65"" (65QD7QF); 75"" (75QD7QF); 85"" (85QD7QF); 100"" (100QD7QF)",tv,LCD,Direct-lit,160.0,Pseudo QD,No,,Yes,QLED,LCD,VA,Full-Array,KSF,medium,447.7,17.3,535.7,48.5,632.0,9.0,6.7,6.8,6.7,6.4,6.8,7.3,6.0,7.2,8.1,7.7,86.79,60.92,30.2,370.0,519,414,403,510,594,551,437,5891.0,115657.0,9.1,13.7,10.3,10.1,60Hz,Yes,Yes,4 (4x HDMI 2.0),No HDMI 2.1,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/tklKFP33/hisense-qd7qf/spd-large.jpg?format=auto,spd_images/hisense-qd7qf_spd.jpg,65.0,437.99,bestbuy,,,437.99,,557.9041172782012,6,50.0,100.0,B0DYVXN9HT,"6621484,6621486,6621482,6621485,6621488",65.37164179104478
96118,Hisense U65QF,Hisense,hisense-u65qf,https://www.rtings.com/tv/reviews/hisense/u65qf,227,v2.2,2025-04-11 00:00:00 -0400,2025-06-20 10:14:16 -0400,2026-03-13 12:48:38 -0400,"55"" (55U65QF); 65"" (65U65QF); 75"" (75U65QF); 85"" (85U65QF); 100"" (100U65QF)",tv,LCD,Direct-lit,300.0,Pseudo QD,No,,Yes,QLED,LCD,VA,Full-Array,KSF,medium,448.1,16.7,528.1,45.7,632.0,9.1,7.2,7.2,7.4,7.4,7.6,7.5,7.3,7.1,7.6,7.4,87.96,60.87,34.3,559.0,880,572,496,629,866,887,649,5305.0,86978.0,6.7,9.9,4.8,4.9,144Hz,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/o89x6Q96/hisense-u65qf/spd-large.jpg?format=auto,spd_images/hisense-u65qf_spd.jpg,65.0,579.99,rtings,,,,,589.7022339957435,5,55.0,100.0,,"6620385,6621209,6621190,6621191,6621210",80.55416666666666
50404,Hisense U6N,Hisense,hisense-u6n,https://www.rtings.com/tv/reviews/hisense/u6-u6n,227,v2.2,2024-04-01 00:00:00 -0400,2024-07-25 11:37:26 -0400,2026-03-16 15:05:31 -0400,"55"" (55U6N); 65"" (65U6N); 75"" (75U6N); 85"" (85U6N)",tv,LCD,Direct-lit,240.0,Pseudo QD,No,,Yes,QLED,LCD,VA,Full-Array,KSF,medium,445.9,17.8,534.7,47.4,632.0,9.1,6.7,6.8,6.7,6.5,7.0,6.7,6.2,7.8,6.8,8.0,87.75,61.73,27.9,421.9844666,519,328,442,565,629,534,340,6616.0,50362.0,10.3,13.1,6.5,10.8,60Hz,Yes,Yes,4 (4x HDMI 2.0),No HDMI 2.1,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/YmnCqlA4/hisense-u6-u6n/spd-large.jpg?format=auto,spd_images/hisense-u6n_spd.jpg,65.0,450.99,rtings,,,,,495.5934065934066,4,55.0,85.0,"B0CY4X5M8D,B0D1DPL3PF,B0CY4WPYB4,B0CY4P8QRL",6576999,67.31194029850747
96104,Hisense U75QG,Hisense,hisense-u75qg,https://www.rtings.com/tv/reviews/hisense/u75qg,227,v2.2,2025-04-07 00:00:00 -0400,2025-06-13 12:04:05 -0400,2026-03-12 10:03:55 -0400,"55"" (55U75QG); 65"" (65U75QG); 75"" (75U75QG); 85"" (85U75QG); 100"" (100U75QG)",tv,LCD,Direct-lit,1800.0,Pseudo QD,No,,Yes,QLED,LCD,VA,Full-Array,KSF,medium,451.8,17.0,534.3,48.6,632.0,9.0,8.0,8.0,7.8,7.9,8.4,7.9,8.9,8.1,8.4,7.0,88.99,63.03,47.2,818.7307739,2790,2555,757,1268,2085,2925,2564,4522.0,137533.0,14.0,14.0,3.1,4.3,165Hz,Yes,Yes,4 (4x HDMI 2.1),48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/ZGwLvDp2/hisense-u75qg/spd-large.jpg?format=auto,spd_images/hisense-u75qg_spd.jpg,65.0,699.99,bestbuy,,,699.99,,865.1972252624049,5,55.0,100.0,,"6620386,6621204,6621205,6621200,6620384",87.49875
50405,Hisense U7N,Hisense,hisense-u7n,https://www.rtings.com/tv/reviews/hisense/u7n-u7-u75n,227,v2.2,2024-04-01 00:00:00 -0400,2024-06-07 10:53:51 -0400,2026-03-17 10:14:06 -0400,"55"" (55U7N); 65"" (65U7N); 75"" (75U7N); 85"" (85U7N)",tv,LCD,Direct-lit,384.0,Pseudo QD,No,,Yes,QLED,LCD,VA,Full-Array,KSF,medium,446.3,17.1,530.2,45.6,631.9,9.0,7.4,7.4,7.5,7.8,8.0,7.4,8.0,7.2,7.2,7.0,91.13,65.39,37.0,629.9241333,983,656,712,935,1302,1158,714,4426.0,63092.0,12.4,12.4,4.1,5.1,144Hz,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/LfVSZyFc/hisense-u7n-u7-u75n/spd-large.jpg?format=auto,spd_images/hisense-u7n_spd.jpg,85.0,899.99,rtings,,,,,576.9166666666666,2,65.0,85.0,"B0CY4RD4KT,B0D1FQCHD2",6579196,121.62027027027027
50406,Hisense U8N,Hisense,hisense-u8n,https://www.rtings.com/tv/reviews/hisense/u8-u8n,227,v2.2,2024-04-01 00:00:00 -0400,2024-05-27 11:16:22 -0400,2026-03-16 12:38:33 -0400,"55"" (55U8N); 65"" (65U8N); 75"" (75U8N); 85"" (85U8N); 100"" (100U8N)",tv,LCD,Direct-lit,1600.0,QD-LCD,Yes,CdSe,Yes,ULED,LCD,VA,Full-Array,QD-LCD,high,448.0,16.4,542.2,25.4,630.5,18.8,8.3,8.4,8.2,8.1,8.5,8.0,9.2,8.9,9.6,8.1,93.2,69.4,51.9,886.6,3188,2147,912,1492,2792,3691,2595,6969.0,277100.0,9.4,9.4,4.1,5.3,144Hz,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/snkE6d7W/hisense-u8-u8n/spd-large.jpg?format=auto,spd_images/hisense-u8n_spd.jpg,55.0,1156.94,amazon_3p,,,,1156.94,1779.9076923076923,4,55.0,85.0,"B0CY4TQ91Q,B0CY4SM6P8,B0CY4QVD4C,B0D3SX2PN4,B0CZ6VX5J4",,139.39036144578313
96125,Hisense U8QG,Hisense,hisense-u8qg,https://www.rtings.com/tv/reviews/hisense/u8qg,227,v2.2,2025-04-07 00:00:00 -0400,2025-05-23 09:54:14 -0400,2026-03-10 09:27:33 -0400,"55"" (55U8QG); 65"" (65U8QG); 75"" (75U8QG); 85"" (85U8QG); 100"" (100U8QG)",tv,LCD,Direct-lit,2048.0,QD-LCD,Yes,CdSe,Yes,ULED,LCD,VA,Full-Array,QD-LCD,high,445.9,16.0,540.3,26.0,629.7,18.8,8.4,8.5,8.3,8.3,8.7,8.4,9.2,8.7,10.0,8.3,94.7,70.92,56.1,943.829,4183,5514,867,1503,2554,4380,5552,7363.0,459067.0,9.0,9.0,3.1,4.4,165Hz,Yes,Yes,3 (3x HDMI 2.1),48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/IJb2X5l7/hisense-u8qg/spd-large.jpg?format=auto,spd_images/hisense-u8qg_spd.jpg,65.0,1299.99,bestbuy,,,1299.99,,1251.4458181071925,5,55.0,100.0,"B0F5QVK3TR,B0F5QQH44H","6620383,6621215,6621214,6621197,6621198",154.76071428571427
59962,Hisense U9N,Hisense,hisense-u9n,https://www.rtings.com/tv/reviews/hisense/u9n,197,v2.0.1,2024-08-01 00:00:00 -0400,2025-01-23 15:20:50 -0500,2025-05-08 10:57:38 -0400,"75"" (75U9N); 85"" (85U9N)",tv,LCD,Direct-lit,2924.0,QD-LCD,Yes,CdSe,Yes,ULED,LCD,IPS,Full-Array,QD-LCD,high,448.1,16.6,536.2,25.2,630.7,19.7,8.3,8.4,8.0,8.2,8.4,8.5,8.8,8.5,9.8,4.9,98.63,76.54,54.4,711.9664917,3095,4396,661,1101,1918,3164,4596,1634.0,344300.0,8.9,11.6,7.5,6.2,144Hz,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/fz1PJF52/hisense-u9n/spd-large.jpg?format=auto,spd_images/hisense-u9n_spd.jpg,75.0,2549.99,rtings,,,,,1929.0033375715193,2,75.0,85.0,B0D2PMNRBW,6594932,307.2277108433734
49540,LG B4 OLED,LG,lg-b4-oled,https://www.rtings.com/tv/reviews/lg/b4-oled,227,v2.2,2024-03-01 00:00:00 -0500,2024-05-07 14:53:43 -0400,2026-03-17 09:10:15 -0400,"48"" (OLED48B4AUA); 55"" (OLED55B4AUA); 65"" (OLED65B4AUA); 77"" (OLED77B4AUA); 83"" (OLED83B4AUA)",tv,OLED,,,WOLED,No,,Yes,OLED,OLED,WOLED,No Backlight,WOLED,high,455.3,22.4,555.2,105.6,,,8.1,8.4,8.5,7.6,6.9,8.1,6.8,10.0,10.0,10.0,94.07,63.23,34.2,398.3,433,425,147,328,509,675,685,inf,inf,0.3,2.9,5.8,5.5,120Hz,Yes,Yes,4 (4x HDMI 2.1),48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/O0tqgwkm/lg-b4-oled/spd-large.jpg?format=auto,spd_images/lg-b4-oled_spd.jpg,55.0,989.99,bestbuy,,,989.99,,1359.1831129807692,2,55.0,77.0,B0D3WSKZ1N,"6578057,6578055",122.220987654321
88603,LG B5 OLED,LG,lg-b5-oled,https://www.rtings.com/tv/reviews/lg/b5-oled,227,v2.2,2025-04-28 00:00:00 -0400,2025-07-25 11:17:04 -0400,2026-03-11 13:25:39 -0400,"48"" (OLED48B5PUA); 55"" (OLED55B5PUA); 65"" (OLED65B5PUA); 77"" (OLED77B5PUA); 83"" (OLED83B5PUA)",tv,OLED,,,WOLED,No,,Yes,OLED,OLED,WOLED,No Backlight,WOLED,high,455.3,22.5,549.4,109.9,,,8.3,8.6,8.5,7.3,6.7,8.3,7.0,10.0,10.0,10.0,98.3,71.16,34.6,303.3897095,439,426,165,368,565,847,852,inf,inf,0.5,4.2,5.4,5.4,120Hz,Yes,Yes,4 (4x HDMI 2.1),48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/cvwRHKE7/lg-b5-oled/spd-large.jpg?format=auto,spd_images/lg-b5-oled_spd.jpg,65.0,999.99,bestbuy,,,999.99,,1238.8343243475274,4,48.0,77.0,B0F8DJ7FBV,"6635292,6635751,6633087,6621813,11690686",120.48072289156626
49541,LG C4 OLED,LG,lg-c4-oled,https://www.rtings.com/tv/reviews/lg/c4-oled,227,v2.2,2024-03-11 00:00:00 -0400,2024-05-02 10:42:21 -0400,2026-03-16 10:44:07 -0400,"42"" (OLED42C4PUA); 48"" (OLED48C4PUA); 55"" (OLED55C4PUA); 65"" (OLED65C4PUA); 77"" (OLED77C4PUA); 83"" (OLED83C4PUA)",tv,OLED,,,WOLED,No,,Yes,OLED,OLED,WOLED,No Backlight,WOLED,high,455.9,22.2,556.3,109.4,,,8.3,8.6,8.6,7.6,6.9,8.1,7.3,10.0,10.0,10.0,93.69,62.82,36.2,411.2981873,425,427,194,331,614,932,950,inf,inf,0.4,3.9,4.6,4.6,144Hz,Yes,Yes,4 (4x HDMI 2.1),48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/7iKeqJW5/lg-c4-oled/spd-large.jpg?format=auto,spd_images/lg-c4-oled_spd.jpg,65.0,1195.49,amazon_3p,1249.99,,,1195.49,1582.5417582417583,3,48.0,65.0,"B0D3WVN6LH,B0CVRMHRSZ,B0CVS18PH9,B0D3WWGP6T",11096117,144.03493975903612
88602,LG C5 OLED,LG,lg-c5-oled,https://www.rtings.com/tv/reviews/lg/c5-oled,227,v2.2,2025-04-01 00:00:00 -0400,2025-05-13 13:06:00 -0400,2026-03-19 08:55:10 -0400,"42"" (OLED42C5PUA); 48"" (OLED48C5PUA); 55"" (OLED55C5PUA); 65"" (OLED65C5PUA); 77"" (OLED77C5PUA); 83"" (OLED83C5PUA)",tv,OLED,,,WOLED,No,,Yes,OLED,OLED,WOLED,No Backlight,WOLED,high,455.4,22.6,550.8,71.3,,,8.7,8.9,8.9,8.3,7.7,8.3,8.3,10.0,10.0,10.0,97.95,68.82,40.0,591.7976685,622,623,219,458,714,1075,1296,inf,inf,0.5,2.4,4.5,4.5,144Hz,Yes,Yes,4 (4x HDMI 2.1),48 Gbps,4k,,,NO_GT,2026-04-06T14:04:38.263155+00:00,https://i.rtings.com/assets/products/XR56xDRI/lg-c5-oled/spd-large.jpg?format=auto,spd_images/lg-c5-oled_spd.jpg,65.0,1399.99,rtings,,,,,1910.740418752054,6,42.0,83.0,"B0F8DWB273,B0F7J14C5Q,B0F8DW8D69","6621833,6621828,6621824,6621825,6621817,6621822",160.91839080459772
